CÓD. OFICINA|DENOMINACIÓN DE OFICINA|CÓD. UNIDAD/ENTIDAD|DENOMINACIÓN UNIDAD/ENTIDAD|NIVEL DE AMINISTRACIÓN|COMUNIDAD AUTÓNOMA|PROVINCIA|OFICINA DE CORREOS|LUGO CIUDAD
O00002859|CORREOS BECERREA|EA0000998|CORREOS BECERREA|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B2;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B2));"No";"Sí")
O00002860|CORREOS BOVEDA|EA0000999|CORREOS BOVEDA|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B3;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B3));"No";"Sí")
O00002862|CORREOS CASTRO DE RIBERAS DE LEA|EA0001001|CORREOS CASTRO DE RIBERAS DE LEA|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B4;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B4));"No";"Sí")
O00002863|CORREOS CHANTADA|EA0001002|CORREOS CHANTADA|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B5;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B5));"No";"Sí")
O00002858|CORREOS A FONSAGRADA|EA0000997|CORREOS A FONSAGRADA|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B6;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B6));"No";"Sí")
O00002866|CORREOS FOZ|EA0001011|CORREOS FOZ|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B7;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B7));"No";"Sí")
O00002867|CORREOS GUITIRIZ|EA0001012|CORREOS GUITIRIZ|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B8;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B8));"No";"Sí")
O00002711|REGISTRO GENERAL DE LA DELEGACIÓN DE ECONOMÍA Y HACIENDA EN LUGO|E03085704|DELEGACION DE ECONOMIA Y HACIENDA EN LUGO - SECRETARIA GENERAL|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B9;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B9));"No";"Sí")
O00002868|CORREOS LUGO OFICINA PRINCIPAL|EA0001013|CORREOS LUGO OFICINA PRINCIPAL|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B10;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B10));"No";"Sí")
O00002869|CORREOS LUGO SUCURSAL 1|EA0001014|CORREOS LUGO SUCURSAL 1|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B11;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B11));"No";"Sí")
O00002870|CORREOS LUGO SUCURSAL 2|EA0001015|CORREOS LUGO SUCURSAL 2|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B12;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B12));"No";"Sí")
O00003057|REGISTRO GENERAL DE LA GERENCIA TERRITORIAL DEL CATASTRO DE LUGO|E03096604|DELEGACION DE ECONOMIA Y HACIENDA EN LUGO - GERENCIA TERRITORIAL DEL CATASTRO|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B13;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B13));"No";"Sí")
O00005281|REGISTRO AUXILIAR DEL SERVICIO PROVINCIAL DE MUFACE EN LUGO|E02663304|SERVICIO PROVINCIAL DE MUFACE DE LUGO|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B14;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B14));"No";"Sí")
O00005313|REGISTRO AUXILIAR DEL SERVICIO PROVINCIAL DE COSTAS EN LUGO|E03159203|SERVICIO PROVINCIAL DE COSTAS LUGO|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B15;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B15));"No";"Sí")
O00005322|REGISTRO AUXILIAR DE LA DIRECCIÓN PROVINCIAL DEL SEPE DE LUGO|E03697804|DIRECCION PROVINCIAL DEL SEPE DE LUGO|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B16;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B16));"No";"Sí")
O00006300|REG. GRAL. DE LA SUBDEL.GOB. EN LUGO|E02693904|SUBDELEGACIÓN DEL GOBIERNO EN LUGO - SUBDEL..|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B17;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B17));"No";"Sí")
O00006300|REG. GRAL. DE LA SUBDEL.GOB. EN LUGO|E02695505|SUBDELEGACIÓN DEL GOBIERNO EN LUGO - DEPENDENCIA PROVINCIAL DEL AREA DE TRABAJO E INMIGRACION|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B18;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B18));"No";"Sí")
O00006300|REG. GRAL. DE LA SUBDEL.GOB. EN LUGO|E02694204|SUBDELEGACIÓN DEL GOBIERNO EN LUGO - S.GRAL.|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B19;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B19));"No";"Sí")
O00006300|REG. GRAL. DE LA SUBDEL.GOB. EN LUGO|E04074506|OFICINA DE EXTRANJERIA EN LUGO|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B20;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B20));"No";"Sí")
O00009803|UAP LUGO - REGISTRO DEL FONDO DE GARANTÍA SALARIAL|E03716003|UNIDAD ADMINISTRATIVA DEL FOGASA DE LUGO|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B21;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B21));"No";"Sí")
O00010249|REGISTRO AUXILIAR JEFATURA PROVINCIAL DE TRAFICO DE LUGO|E03101801|JEFATURA PROVINCIAL DE TRAFICO DE LUGO|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B22;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B22));"No";"Sí")
O00002871|CORREOS MONDOÑEDO|EA0001016|CORREOS MONDOÑEDO|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B23;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B23));"No";"Sí")
O00002872|CORREOS MONFORTE DE LEMOS|EA0001017|CORREOS MONFORTE DE LEMOS|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B24;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B24));"No";"Sí")
O00002873|CORREOS MONTERROSO|EA0001018|CORREOS MONTERROSO|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B25;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B25));"No";"Sí")
O00002874|CORREOS QUIROGA|EA0001019|CORREOS QUIROGA|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B26;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B26));"No";"Sí")
O00002876|CORREOS RIBADEO|EA0001021|CORREOS RIBADEO|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B27;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B27));"No";"Sí")
O00002877|CORREOS SAMOS|EA0001022|CORREOS SAMOS|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B28;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B28));"No";"Sí")
O00002875|CORREOS RABADE|EA0001020|CORREOS RABADE|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B29;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B29));"No";"Sí")
O00002878|CORREOS SARRIA|EA0001023|CORREOS SARRIA|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B30;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B30));"No";"Sí")
O00002864|CORREOS ESCAIRON|EA0001009|CORREOS ESCAIRON|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B31;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B31));"No";"Sí")
O00002865|CORREOS FERREIRA (O VALADOURO)|EA0001010|CORREOS FERREIRA (O VALADOURO)|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B32;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B32));"No";"Sí")
O00002879|CORREOS VILALBA|EA0001024|CORREOS VILALBA|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B33;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B33));"No";"Sí")
O00002880|CORREOS VIVEIRO|EA0001025|CORREOS VIVEIRO|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B34;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B34));"No";"Sí")
O00002861|CORREOS BURELA|EA0001000|CORREOS BURELA|Administración del Estado|Galicia|Lugo|=SI(IZQUIERDA(B35;7) = "correos";"Sí";"No")|=SI(ESERROR(ENCONTRAR("LUGO";B35));"No";"Sí")
